통계표.구,통계표이름.구,항목1.구,항목1명.구,통계표,통계표이름,항목1,항목1명,항목2,항목 2명,비고
901Y001,17.거시경제분석 지표,AI1AA,경제성장률,200Y002,2.1.1.2. 주요지표(분기지표),10121,"국내총생산에 대한 지출(실질, 계절조정, 전기비)",,,
901Y001,17.거시경제분석 지표,AI1AB,민간소비증감률(실질),200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,,,
901Y001,17.거시경제분석 지표,AI1AC,설비투자증감률(실질),200Y002,2.1.1.2. 주요지표(분기지표),10123,설비투자,,,
901Y001,17.거시경제분석 지표,AI1AD,건설투자증감률(실질),200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,
901Y001,17.거시경제분석 지표,AI1AE,총저축률,200Y002,2.1.1.2. 주요지표(분기지표),40101,총저축률,,,
901Y001,17.거시경제분석 지표,AI1AF,국내총투자율,200Y002,2.1.1.2. 주요지표(분기지표),40102,국내총투자율,,,
901Y001,17.거시경제분석 지표,AI1AG,수출입의 대 GNI 비율,200Y002,2.1.1.2. 주요지표(분기지표),501,"수출입의 대 GNI 비율(명목, 계절조정)",,,
901Y001,17.거시경제분석 지표,AI1AH,제조업 평균가동률,901Y025,8.3.7. 제조업 평균가동률,I31A,제조업,,,
901Y001,17.거시경제분석 지표,AI1AI,제조업 재고율지수,,,,,,,제공중단
901Y001,17.거시경제분석 지표,AI1AJ,실업률,901Y027,8.6.2. 경제활동인구,I61BC,실업률,I28A,원계열,
901Y001,17.거시경제분석 지표,AI1AK,고용률,901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,
901Y001,17.거시경제분석 지표,AI1AO,노동생산성증감률,,,,,,,8.6.5. 노동생산성지수 참고
901Y001,17.거시경제분석 지표,AI1AP,단위노동비용증감률,,,,,,,8.6.6. 단위노동비용지수 참고
901Y001,17.거시경제분석 지표,AI1AQ,시간당명목임금증감률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BA,생산자물가등락률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BB,소비자물가등락률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BC,근원인플레이션율,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BD,수출물가등락률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BE,수입물가등락률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BF,주택매매가격등락률(전도시),,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BFA,아파트매매가격등락률(서울),,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BG,WTI 현물유가등락률,,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BH,주택전세가격등락률(전도시),,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1BHA,아파트전세가격등락률(서울),,,,,,,8.6.7. 시간당 명목임금지수 참고
901Y001,17.거시경제분석 지표,AI1CE,CD(91일)수익률,721Y001,"1.3.2.2. 시장금리(월,분기,년)",2010000,CD(91일),,,
901Y001,17.거시경제분석 지표,AI1CF,국고채(3년)수익률,721Y001,"1.3.2.2. 시장금리(월,분기,년)",5020000,국고채(3년),,,
901Y001,17.거시경제분석 지표,AI1CG,종합주가지수,901Y014,"1.5.1.2. 주식시장(월,년)",1080000,KOSPI_평균,,,
901Y001,17.거시경제분석 지표,AI1CH,가계신용잔액,151Y001,"1.2.4.1.1. 가계신용(업권별, 분기)",1000000,가계신용,,,
901Y001,17.거시경제분석 지표,AI1DA,경상수지,301Y013,2.5.1.1. 국제수지,000000,경상수지,,,
901Y001,17.거시경제분석 지표,AI1DAA,상품수지,301Y013,2.5.1.1. 국제수지,100000,상품수지,,,
901Y001,17.거시경제분석 지표,AI1DAB,서비스수지,301Y013,2.5.1.1. 국제수지,200000,서비스수지,,,
901Y001,17.거시경제분석 지표,AI1DB,금융계정,301Y013,2.5.1.1. 국제수지,BOPF00000000,금융계정,,,
901Y001,17.거시경제분석 지표,AI1DC,외환보유액,732Y001,3.5. 외환보유액,99,합계,,,
901Y001,17.거시경제분석 지표,AI1DG,순상품교역조건지수,403Y005,3.3.2. 교역조건지수,A,순상품교역조건지수,,,